project,arm,cohort,rep,path,module,slot,state
VOICE,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/VOICE_d4d.yaml,Motivation,purposes,populated
VOICE,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/VOICE_d4d.yaml,Motivation,purposes,populated
VOICE,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/VOICE_d4d.yaml,Motivation,purposes,populated
VOICE,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/VOICE_d4d.yaml,Motivation,purposes,populated
VOICE,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/VOICE_d4d.yaml,Motivation,purposes,populated
VOICE,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/VOICE_d4d.yaml,Motivation,purposes,populated
VOICE,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/VOICE_d4d.yaml,Motivation,purposes,populated
VOICE,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/VOICE_d4d.yaml,Motivation,purposes,populated
VOICE,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/VOICE_d4d.yaml,Motivation,purposes,populated
VOICE,direct,,,,Motivation,purposes,no_record
AI_READI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_d4d.yaml,Motivation,tasks,populated
AI_READI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_d4d.yaml,Motivation,tasks,populated
AI_READI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_d4d.yaml,Motivation,tasks,populated
AI_READI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_d4d.yaml,Motivation,tasks,populated
AI_READI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_d4d.yaml,Motivation,tasks,populated
AI_READI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_d4d.yaml,Motivation,tasks,populated
AI_READI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/AI_READI_d4d.yaml,Motivation,tasks,populated
AI_READI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/AI_READI_d4d.yaml,Motivation,tasks,populated
AI_READI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/AI_READI_d4d.yaml,Motivation,tasks,populated
AI_READI,direct,,,,Motivation,tasks,no_record
CHORUS,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_d4d.yaml,Motivation,tasks,populated
CHORUS,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_d4d.yaml,Motivation,tasks,populated
CHORUS,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CHORUS_d4d.yaml,Motivation,tasks,populated
CHORUS,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/CHORUS_d4d.yaml,Motivation,tasks,populated
CHORUS,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/CHORUS_d4d.yaml,Motivation,tasks,populated
CHORUS,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/CHORUS_d4d.yaml,Motivation,tasks,populated
CHORUS,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CHORUS_d4d.yaml,Motivation,tasks,populated
CHORUS,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CHORUS_d4d.yaml,Motivation,tasks,populated
CHORUS,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CHORUS_d4d.yaml,Motivation,tasks,populated
CHORUS,direct,,,,Motivation,tasks,no_record
CM4AI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CM4AI_d4d.yaml,Motivation,tasks,populated
CM4AI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CM4AI_d4d.yaml,Motivation,tasks,populated
CM4AI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CM4AI_d4d.yaml,Motivation,tasks,populated
CM4AI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/CM4AI_d4d.yaml,Motivation,tasks,populated
CM4AI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/CM4AI_d4d.yaml,Motivation,tasks,populated
CM4AI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/CM4AI_d4d.yaml,Motivation,tasks,populated
CM4AI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CM4AI_d4d.yaml,Motivation,tasks,populated
CM4AI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CM4AI_d4d.yaml,Motivation,tasks,populated
CM4AI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CM4AI_d4d.yaml,Motivation,tasks,populated
CM4AI,direct,,,,Motivation,tasks,no_record
VOICE,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/VOICE_d4d.yaml,Motivation,tasks,populated
VOICE,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/VOICE_d4d.yaml,Motivation,tasks,populated
VOICE,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/VOICE_d4d.yaml,Motivation,tasks,populated
VOICE,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/VOICE_d4d.yaml,Motivation,tasks,populated
VOICE,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/VOICE_d4d.yaml,Motivation,tasks,populated
VOICE,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/VOICE_d4d.yaml,Motivation,tasks,populated
VOICE,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/VOICE_d4d.yaml,Motivation,tasks,populated
VOICE,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/VOICE_d4d.yaml,Motivation,tasks,populated
VOICE,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/VOICE_d4d.yaml,Motivation,tasks,populated
VOICE,direct,,,,Motivation,tasks,no_record
AI_READI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_d4d.yaml,Motivation,addressing_gaps,populated
AI_READI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_d4d.yaml,Motivation,addressing_gaps,populated
AI_READI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_d4d.yaml,Motivation,addressing_gaps,populated
AI_READI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_d4d.yaml,Motivation,addressing_gaps,populated
AI_READI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_d4d.yaml,Motivation,addressing_gaps,populated
AI_READI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_d4d.yaml,Motivation,addressing_gaps,populated
AI_READI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/AI_READI_d4d.yaml,Motivation,addressing_gaps,populated
AI_READI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/AI_READI_d4d.yaml,Motivation,addressing_gaps,populated
AI_READI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/AI_READI_d4d.yaml,Motivation,addressing_gaps,populated
AI_READI,direct,,,,Motivation,addressing_gaps,no_record
CHORUS,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_d4d.yaml,Motivation,addressing_gaps,populated
CHORUS,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_d4d.yaml,Motivation,addressing_gaps,populated
CHORUS,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CHORUS_d4d.yaml,Motivation,addressing_gaps,populated
CHORUS,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/CHORUS_d4d.yaml,Motivation,addressing_gaps,populated
CHORUS,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/CHORUS_d4d.yaml,Motivation,addressing_gaps,populated
CHORUS,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/CHORUS_d4d.yaml,Motivation,addressing_gaps,populated
CHORUS,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CHORUS_d4d.yaml,Motivation,addressing_gaps,populated
CHORUS,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CHORUS_d4d.yaml,Motivation,addressing_gaps,populated
CHORUS,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CHORUS_d4d.yaml,Motivation,addressing_gaps,populated
CHORUS,direct,,,,Motivation,addressing_gaps,no_record
CM4AI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CM4AI_d4d.yaml,Motivation,addressing_gaps,populated
CM4AI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CM4AI_d4d.yaml,Motivation,addressing_gaps,populated
CM4AI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CM4AI_d4d.yaml,Motivation,addressing_gaps,populated
CM4AI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/CM4AI_d4d.yaml,Motivation,addressing_gaps,populated
CM4AI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/CM4AI_d4d.yaml,Motivation,addressing_gaps,populated
CM4AI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/CM4AI_d4d.yaml,Motivation,addressing_gaps,populated
CM4AI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CM4AI_d4d.yaml,Motivation,addressing_gaps,populated
CM4AI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CM4AI_d4d.yaml,Motivation,addressing_gaps,populated
CM4AI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CM4AI_d4d.yaml,Motivation,addressing_gaps,populated
CM4AI,direct,,,,Motivation,addressing_gaps,no_record
VOICE,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/VOICE_d4d.yaml,Motivation,addressing_gaps,populated
VOICE,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/VOICE_d4d.yaml,Motivation,addressing_gaps,populated
VOICE,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/VOICE_d4d.yaml,Motivation,addressing_gaps,populated
VOICE,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/VOICE_d4d.yaml,Motivation,addressing_gaps,populated
VOICE,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/VOICE_d4d.yaml,Motivation,addressing_gaps,populated
VOICE,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/VOICE_d4d.yaml,Motivation,addressing_gaps,populated
VOICE,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/VOICE_d4d.yaml,Motivation,addressing_gaps,populated
VOICE,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/VOICE_d4d.yaml,Motivation,addressing_gaps,populated
VOICE,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/VOICE_d4d.yaml,Motivation,addressing_gaps,populated
VOICE,direct,,,,Motivation,addressing_gaps,no_record
AI_READI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_d4d.yaml,Motivation,creators,populated
AI_READI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_d4d.yaml,Motivation,creators,populated
AI_READI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_d4d.yaml,Motivation,creators,populated
AI_READI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_d4d.yaml,Motivation,creators,populated
AI_READI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_d4d.yaml,Motivation,creators,populated
AI_READI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_d4d.yaml,Motivation,creators,populated
AI_READI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/AI_READI_d4d.yaml,Motivation,creators,populated
AI_READI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/AI_READI_d4d.yaml,Motivation,creators,populated
AI_READI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/AI_READI_d4d.yaml,Motivation,creators,populated
AI_READI,direct,,,,Motivation,creators,no_record
CHORUS,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_d4d.yaml,Motivation,creators,populated
CHORUS,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_d4d.yaml,Motivation,creators,populated
CHORUS,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CHORUS_d4d.yaml,Motivation,creators,populated
CHORUS,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/CHORUS_d4d.yaml,Motivation,creators,populated
CHORUS,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/CHORUS_d4d.yaml,Motivation,creators,populated
CHORUS,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/CHORUS_d4d.yaml,Motivation,creators,populated
CHORUS,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CHORUS_d4d.yaml,Motivation,creators,populated
CHORUS,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CHORUS_d4d.yaml,Motivation,creators,populated
CHORUS,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CHORUS_d4d.yaml,Motivation,creators,populated
CHORUS,direct,,,,Motivation,creators,no_record
CM4AI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CM4AI_d4d.yaml,Motivation,creators,populated
CM4AI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CM4AI_d4d.yaml,Motivation,creators,populated
CM4AI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/CM4AI_d4d.yaml,Motivation,creators,populated
CM4AI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/CM4AI_d4d.yaml,Motivation,creators,populated
CM4AI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/CM4AI_d4d.yaml,Motivation,creators,populated
CM4AI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/CM4AI_d4d.yaml,Motivation,creators,populated
CM4AI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/CM4AI_d4d.yaml,Motivation,creators,populated
CM4AI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/CM4AI_d4d.yaml,Motivation,creators,populated
CM4AI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/CM4AI_d4d.yaml,Motivation,creators,populated
CM4AI,direct,,,,Motivation,creators,no_record
VOICE,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/VOICE_d4d.yaml,Motivation,creators,populated
VOICE,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/VOICE_d4d.yaml,Motivation,creators,populated
VOICE,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/VOICE_d4d.yaml,Motivation,creators,populated
VOICE,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep1/VOICE_d4d.yaml,Motivation,creators,populated
VOICE,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep2/VOICE_d4d.yaml,Motivation,creators,populated
VOICE,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04f_claude-opus-5-api-generic-v8_rep3/VOICE_d4d.yaml,Motivation,creators,populated
VOICE,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/VOICE_d4d.yaml,Motivation,creators,populated
VOICE,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/VOICE_d4d.yaml,Motivation,creators,populated
VOICE,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/VOICE_d4d.yaml,Motivation,creators,populated
VOICE,direct,,,,Motivation,creators,no_record
AI_READI,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/AI_READI_d4d.yaml,Motivation,funders,populated
AI_READI,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/AI_READI_d4d.yaml,Motivation,funders,populated
AI_READI,api,v7,3,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep3/AI_READI_d4d.yaml,Motivation,funders,populated
AI_READI,api,v8,1,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep1/AI_READI_d4d.yaml,Motivation,funders,populated
AI_READI,api,v8,2,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep2/AI_READI_d4d.yaml,Motivation,funders,populated
AI_READI,api,v8,3,data/d4d_concatenated/claudecode_api/2026-09-04g_claude-opus-5-api-generic-v8_rep3/AI_READI_d4d.yaml,Motivation,funders,populated
AI_READI,agentic,v6,1,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep1/AI_READI_d4d.yaml,Motivation,funders,populated
AI_READI,agentic,v6,2,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep2/AI_READI_d4d.yaml,Motivation,funders,populated
AI_READI,agentic,v6,3,data/d4d_concatenated/claudecode_agent/2026-08-28_claude-opus-5-claudecode-generic-v6_rep3/AI_READI_d4d.yaml,Motivation,funders,populated
AI_READI,direct,,,,Motivation,funders,no_record
CHORUS,api,v7,1,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep1/CHORUS_d4d.yaml,Motivation,funders,populated
CHORUS,api,v7,2,data/d4d_concatenated/claudecode_agent/2026-09-01_claude-opus-5-api-generic-v7_rep2/CHORUS_d4d.yaml,Motivation,funders,populated
