job_id,project,cohort,generation_rep,rating,purpose,rubric,instrument_version,total_points,max_points,adjusted_max_points,fixed_pct,adjusted_pct,x
CM4AI_v7_rep1_r10_rating2,CM4AI,v7,1,2,repeatability,rubric10-semantic,1.2,43,50,47,86.0,91.5,4.98
CM4AI_v7_rep1_r10_rating3,CM4AI,v7,1,3,repeatability,rubric10-semantic,1.2,43,50,47,86.0,91.49,4.98
CM4AI_v7_rep2_r10_rating1,CM4AI,v7,2,1,primary,rubric10-semantic,1.2,43,50,47,86.0,91.5,5.2
CM4AI_v7_rep3_r10_rating1,CM4AI,v7,3,1,primary,rubric10-semantic,1.2,42,50,47,84.0,89.4,5.42
CM4AI_v8_rep1_r10_rating1,CM4AI,v8,1,1,primary,rubric10-semantic,1.2,39,50,47,78.0,82.98,5.98
CM4AI_v8_rep2_r10_rating1,CM4AI,v8,2,1,primary,rubric10-semantic,1.2,41,50,47,82.0,87.2,6.2
CM4AI_v8_rep3_r10_rating1,CM4AI,v8,3,1,primary,rubric10-semantic,1.2,40,50,47,80.0,85.1,6.42
VOICE_v7_rep1_r10_rating1,VOICE,v7,1,1,primary,rubric10-semantic,1.2,49,50,50,98.0,98.0,7.58
VOICE_v7_rep1_r10_rating2,VOICE,v7,1,2,repeatability,rubric10-semantic,1.2,49,50,50,98.0,98.0,7.58
VOICE_v7_rep1_r10_rating3,VOICE,v7,1,3,repeatability,rubric10-semantic,1.2,48,50,50,96.0,96.0,7.58
VOICE_v7_rep2_r10_rating1,VOICE,v7,2,1,primary,rubric10-semantic,1.2,49,50,50,98.0,98.0,7.8
VOICE_v7_rep3_r10_rating1,VOICE,v7,3,1,primary,rubric10-semantic,1.2,48,50,50,96.0,96.0,8.02
VOICE_v8_rep1_r10_rating1,VOICE,v8,1,1,primary,rubric10-semantic,1.2,49,50,50,98.0,98.0,8.58
VOICE_v8_rep2_r10_rating1,VOICE,v8,2,1,primary,rubric10-semantic,1.2,48,50,50,96.0,96.0,8.8
VOICE_v8_rep3_r10_rating1,VOICE,v8,3,1,primary,rubric10-semantic,1.2,48,50,50,96.0,96.0,9.02
AI_READI_v7_rep1_r20_rating1,AI_READI,v7,1,1,primary,rubric20-semantic,1.0,82,88,88,93.2,93.2,-0.22
AI_READI_v7_rep2_r20_rating1,AI_READI,v7,2,1,primary,rubric20-semantic,1.0,83,88,88,94.3,94.3,0.0
AI_READI_v7_rep3_r20_rating1,AI_READI,v7,3,1,primary,rubric20-semantic,1.0,85,88,88,96.6,96.6,0.22
AI_READI_v8_rep1_r20_rating1,AI_READI,v8,1,1,primary,rubric20-semantic,1.0,82,88,88,93.2,93.2,0.78
AI_READI_v8_rep2_r20_rating1,AI_READI,v8,2,1,primary,rubric20-semantic,1.0,82,88,88,93.2,93.2,1.0
AI_READI_v8_rep3_r20_rating1,AI_READI,v8,3,1,primary,rubric20-semantic,1.0,83,88,88,94.3,94.3,1.22
CHORUS_v7_rep1_r20_rating1,CHORUS,v7,1,1,primary,rubric20-semantic,1.0,66,88,88,75.0,75.0,2.38
CHORUS_v7_rep2_r20_rating1,CHORUS,v7,2,1,primary,rubric20-semantic,1.0,64,88,88,72.7,72.7,2.6
CHORUS_v7_rep3_r20_rating1,CHORUS,v7,3,1,primary,rubric20-semantic,1.0,67,88,88,76.1,76.1,2.82
CHORUS_v8_rep1_r20_rating1,CHORUS,v8,1,1,primary,rubric20-semantic,1.0,67,88,88,76.1,76.1,3.38
CHORUS_v8_rep2_r20_rating1,CHORUS,v8,2,1,primary,rubric20-semantic,1.0,68,88,88,77.3,77.3,3.6
CHORUS_v8_rep3_r20_rating1,CHORUS,v8,3,1,primary,rubric20-semantic,1.0,65,88,88,73.9,73.9,3.82
CM4AI_v7_rep1_r20_rating1,CM4AI,v7,1,1,primary,rubric20-semantic,1.0,75,88,88,85.2,85.2,4.98
CM4AI_v7_rep2_r20_rating1,CM4AI,v7,2,1,primary,rubric20-semantic,1.0,64,88,78,72.7,82.1,5.2
CM4AI_v7_rep3_r20_rating1,CM4AI,v7,3,1,primary,rubric20-semantic,1.0,79,88,88,89.8,89.8,5.42
CM4AI_v8_rep1_r20_rating1,CM4AI,v8,1,1,primary,rubric20-semantic,1.0,70,88,88,79.5,79.5,5.98
CM4AI_v8_rep2_r20_rating1,CM4AI,v8,2,1,primary,rubric20-semantic,1.0,64,88,78,72.7,82.1,6.2
CM4AI_v8_rep3_r20_rating1,CM4AI,v8,3,1,primary,rubric20-semantic,1.0,69,88,88,78.4,78.4,6.42
VOICE_v7_rep1_r20_rating1,VOICE,v7,1,1,primary,rubric20-semantic,1.0,81,88,88,92.0,92.0,7.58
VOICE_v7_rep2_r20_rating1,VOICE,v7,2,1,primary,rubric20-semantic,1.0,80,88,88,90.9,90.9,7.8
VOICE_v7_rep3_r20_rating1,VOICE,v7,3,1,primary,rubric20-semantic,1.0,82,88,88,93.2,93.2,8.02
VOICE_v8_rep1_r20_rating1,VOICE,v8,1,1,primary,rubric20-semantic,1.0,78,88,88,88.6,88.6,8.58
VOICE_v8_rep2_r20_rating1,VOICE,v8,2,1,primary,rubric20-semantic,1.0,77,88,88,87.5,87.5,8.8
VOICE_v8_rep3_r20_rating1,VOICE,v8,3,1,primary,rubric20-semantic,1.0,80,88,88,90.9,90.9,9.02
