rubric,item_id,group,item,project,cohort,generation_rep,rating,score,item_max,score_type,state,repeat_ratings_disagree
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",VOICE,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",VOICE,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.4,Dataset Discovery and Identification,"Landing Page and Resources (page, hierarchical resources)",VOICE,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",AI_READI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",AI_READI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",AI_READI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",AI_READI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",AI_READI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",AI_READI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CHORUS,v7,1,1,0,1,binary,scored,no
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CHORUS,v7,2,1,0,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CHORUS,v7,3,1,0,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CHORUS,v8,1,1,0,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CHORUS,v8,2,1,0,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CHORUS,v8,3,1,0,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CM4AI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CM4AI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CM4AI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CM4AI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CM4AI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",CM4AI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",VOICE,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",VOICE,v7,2,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",VOICE,v7,3,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",VOICE,v8,1,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",VOICE,v8,2,1,1,1,binary,scored,
rubric10-semantic,E1.5,Dataset Discovery and Identification,"Hierarchical Structure (parent datasets, relationships)",VOICE,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,AI_READI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,AI_READI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,AI_READI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,AI_READI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,AI_READI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,AI_READI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CHORUS,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CHORUS,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CHORUS,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CHORUS,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CHORUS,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CHORUS,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CM4AI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CM4AI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CM4AI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CM4AI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CM4AI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,CM4AI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,VOICE,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,VOICE,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,VOICE,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,VOICE,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,VOICE,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.1,Dataset Access and Retrieval,Access Policy and IP Restrictions Defined,VOICE,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,AI_READI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,AI_READI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,AI_READI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,AI_READI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,AI_READI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,AI_READI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CHORUS,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CHORUS,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CHORUS,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CHORUS,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CHORUS,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CHORUS,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CM4AI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CM4AI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CM4AI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CM4AI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CM4AI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,CM4AI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,VOICE,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,VOICE,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,VOICE,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,VOICE,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,VOICE,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.2,Dataset Access and Retrieval,Regulatory Compliance and Confidentiality Classification,VOICE,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,AI_READI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,AI_READI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,AI_READI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,AI_READI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,AI_READI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,AI_READI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CHORUS,v7,1,1,0,1,binary,scored,yes
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CHORUS,v7,2,1,0,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CHORUS,v7,3,1,0,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CHORUS,v8,1,1,0,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CHORUS,v8,2,1,0,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CHORUS,v8,3,1,0,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CM4AI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CM4AI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CM4AI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CM4AI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CM4AI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,CM4AI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,VOICE,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,VOICE,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,VOICE,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,VOICE,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,VOICE,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.3,Dataset Access and Retrieval,Download URL or Platform Link Available,VOICE,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.4,Dataset Access and Retrieval,Distribution Formats and File Types Specified,AI_READI,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.4,Dataset Access and Retrieval,Distribution Formats and File Types Specified,AI_READI,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.4,Dataset Access and Retrieval,Distribution Formats and File Types Specified,AI_READI,v7,3,1,1,1,binary,scored,
rubric10-semantic,E2.4,Dataset Access and Retrieval,Distribution Formats and File Types Specified,AI_READI,v8,1,1,1,1,binary,scored,
rubric10-semantic,E2.4,Dataset Access and Retrieval,Distribution Formats and File Types Specified,AI_READI,v8,2,1,1,1,binary,scored,
rubric10-semantic,E2.4,Dataset Access and Retrieval,Distribution Formats and File Types Specified,AI_READI,v8,3,1,1,1,binary,scored,
rubric10-semantic,E2.4,Dataset Access and Retrieval,Distribution Formats and File Types Specified,CHORUS,v7,1,1,1,1,binary,scored,no
rubric10-semantic,E2.4,Dataset Access and Retrieval,Distribution Formats and File Types Specified,CHORUS,v7,2,1,1,1,binary,scored,
rubric10-semantic,E2.4,Dataset Access and Retrieval,Distribution Formats and File Types Specified,CHORUS,v7,3,1,1,1,binary,scored,
