label,project,method,arm,date,audit_artifact,audit_status,drawn,exclusion,canonical,findings_total,findings_unsupported claim,findings_missing supported information,findings_inconsistent identifier/count,findings_dataset/release/temporal scope error,findings_other,severity_high,severity_major,severity_moderate,severity_medium,severity_low,severity_minor,severity_info,severity_unclassified,repair_rounds_applied,final_record_equals,before_artifact,after_artifact,fields_removed,fields_added,fields_changed,caveats_added,leaves_before,leaves_after
2026-08-13_claude-opus-5-api-generic-v4_rep1,CM4AI,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep1/intermediate/CM4AI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,26,8,3,4,1,10,4,0,0,8,10,0,4,0,1,none,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep1/intermediate/CM4AI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep1/CM4AI_d4d.yaml,47,35,32,3,490,478
2026-08-13_claude-opus-5-api-generic-v4_rep1,VOICE,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep1/intermediate/VOICE_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,21,5,2,2,2,10,3,0,0,7,11,0,0,0,2,none,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep1/intermediate/VOICE_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep1/VOICE_d4d.yaml,298,166,316,16,776,644
2026-08-13_claude-opus-5-api-generic-v4_rep2,AI_READI,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep2/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,19,5,2,2,1,9,2,0,0,6,9,0,2,0,3,none,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep2/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep2/AI_READI_d4d.yaml,107,20,41,9,690,603
2026-08-13_claude-opus-5-api-generic-v4_rep2,CHORUS,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep2/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,20,6,0,2,0,12,2,0,0,7,11,0,0,0,1,CHORUS_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep2/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep2/CHORUS_d4d.yaml,36,11,8,5,258,233
2026-08-13_claude-opus-5-api-generic-v4_rep2,CM4AI,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep2/intermediate/CM4AI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,32,9,6,6,1,10,3,0,0,9,20,0,0,0,2,none,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep2/intermediate/CM4AI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep2/CM4AI_d4d.yaml,68,294,56,27,504,730
2026-08-13_claude-opus-5-api-generic-v4_rep2,VOICE,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep2/intermediate/VOICE_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,19,3,7,4,1,4,2,0,0,4,13,0,0,0,3,none,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep2/intermediate/VOICE_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep2/VOICE_d4d.yaml,72,33,9,7,682,643
2026-08-13_claude-opus-5-api-generic-v4_rep3,AI_READI,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep3/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,22,7,10,1,0,4,3,0,0,7,12,0,0,0,2,none,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep3/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep3/AI_READI_d4d.yaml,56,79,37,8,630,653
2026-08-13_claude-opus-5-api-generic-v4_rep3,CHORUS,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep3/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,32,10,2,7,1,12,4,0,0,11,17,0,0,0,2,CHORUS_repair_full_r2.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep3/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep3/CHORUS_d4d.yaml,49,34,17,10,274,259
2026-08-13_claude-opus-5-api-generic-v4_rep3,CM4AI,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep3/intermediate/CM4AI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,57,7,11,13,7,19,3,0,0,28,26,0,0,0,2,none,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep3/intermediate/CM4AI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep3/CM4AI_d4d.yaml,93,233,102,16,483,623
2026-08-13_claude-opus-5-api-generic-v4_rep3,VOICE,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep3/intermediate/VOICE_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,20,6,3,0,2,9,3,0,0,7,10,0,0,0,2,none,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic-v4_rep3/intermediate/VOICE_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic-v4_rep3/VOICE_d4d.yaml,86,56,31,20,635,605
2026-08-13_claude-opus-5-api-generic_rep1,CHORUS,claudecode_agent,baseline,2026-08-13,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic_rep1/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,46,6,12,6,4,18,3,0,0,27,16,0,0,0,1,CHORUS_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-13_claude-opus-5-api-generic_rep1/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-13_claude-opus-5-api-generic_rep1/CHORUS_d4d.yaml,67,57,47,15,308,298
2026-08-16_claude-opus-5-api-generic-v5_rep1,AI_READI,claudecode_agent,baseline,2026-08-16,data/d4d_concatenated/claudecode_agent_core/2026-08-16_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,24,5,5,2,2,10,2,0,0,7,12,0,3,0,1,AI_READI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-16_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-16_claude-opus-5-api-generic-v5_rep1/AI_READI_d4d.yaml,26,60,16,1,648,682
2026-08-19_claude-opus-5-api-generic-v5_rep1,AI_READI,claudecode_agent,baseline,2026-08-19,data/d4d_concatenated/claudecode_agent_core/2026-08-19_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,57,7,15,10,4,21,10,0,0,27,20,0,0,0,1,AI_READI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-19_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-19_claude-opus-5-api-generic-v5_rep1/AI_READI_d4d.yaml,46,67,84,6,718,739
2026-08-20_claude-opus-5-api-generic-v5_rep1,AI_READI,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,45,5,13,8,0,19,2,0,0,9,31,0,3,0,1,AI_READI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20_claude-opus-5-api-generic-v5_rep1/AI_READI_d4d.yaml,63,153,43,20,575,665
2026-08-20b_claude-opus-5-api-generic-v5_rep1,AI_READI,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,superseded,26,5,9,4,3,5,5,0,0,8,13,0,0,0,1,AI_READI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep1/AI_READI_d4d.yaml,24,14,17,4,617,607
2026-08-20b_claude-opus-5-api-generic-v5_rep1,CHORUS,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep1/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,37,6,7,5,0,19,4,0,0,10,18,0,5,0,1,CHORUS_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep1/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep1/CHORUS_d4d.yaml,17,31,28,20,274,288
2026-08-20b_claude-opus-5-api-generic-v5_rep1,CM4AI,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep1/intermediate/CM4AI_audit.json,accepted: applied to the full record (reconcile_full),True,,superseded,40,10,14,4,2,10,8,0,0,15,17,0,0,0,1,CM4AI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep1/intermediate/CM4AI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep1/CM4AI_d4d.yaml,79,134,42,16,437,492
2026-08-20b_claude-opus-5-api-generic-v5_rep1,VOICE,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep1/intermediate/VOICE_audit.json,accepted: applied to the full record (reconcile_full),True,,superseded,29,5,5,8,1,10,2,0,0,11,12,0,4,0,1,VOICE_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep1/intermediate/VOICE_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep1/VOICE_d4d.yaml,72,62,16,4,518,508
2026-08-20b_claude-opus-5-api-generic-v5_rep2,AI_READI,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep2/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,50,21,7,11,1,10,4,0,0,22,24,0,0,0,1,AI_READI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep2/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep2/AI_READI_d4d.yaml,29,61,78,8,716,748
2026-08-20b_claude-opus-5-api-generic-v5_rep2,CHORUS,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep2/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,17,4,4,2,2,5,0,0,0,5,12,0,0,0,1,CHORUS_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep2/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep2/CHORUS_d4d.yaml,26,18,17,8,192,184
2026-08-20b_claude-opus-5-api-generic-v5_rep2,CM4AI,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep2/intermediate/CM4AI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,13,1,5,2,1,4,2,0,0,6,5,0,0,0,1,CM4AI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep2/intermediate/CM4AI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep2/CM4AI_d4d.yaml,55,85,22,4,360,390
2026-08-20b_claude-opus-5-api-generic-v5_rep2,VOICE,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep2/intermediate/VOICE_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,24,3,8,1,2,10,6,0,0,8,10,0,0,0,1,VOICE_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep2/intermediate/VOICE_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep2/VOICE_d4d.yaml,36,33,18,3,502,499
2026-08-20b_claude-opus-5-api-generic-v5_rep3,AI_READI,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep3/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,55,3,11,9,3,29,3,0,0,12,40,0,0,0,1,AI_READI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep3/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep3/AI_READI_d4d.yaml,28,38,64,3,528,538
2026-08-20b_claude-opus-5-api-generic-v5_rep3,CHORUS,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep3/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,superseded,41,6,5,8,1,21,6,0,0,14,21,0,0,0,1,CHORUS_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep3/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep3/CHORUS_d4d.yaml,21,25,14,14,237,241
2026-08-20b_claude-opus-5-api-generic-v5_rep3,CM4AI,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep3/intermediate/CM4AI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,41,8,9,11,3,10,2,0,0,15,22,0,2,0,1,CM4AI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep3/intermediate/CM4AI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep3/CM4AI_d4d.yaml,49,160,47,24,439,550
2026-08-20b_claude-opus-5-api-generic-v5_rep3,VOICE,claudecode_agent,baseline,2026-08-20,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep3/intermediate/VOICE_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,31,6,5,4,5,11,4,0,0,12,15,0,0,0,1,VOICE_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-20b_claude-opus-5-api-generic-v5_rep3/intermediate/VOICE_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-20b_claude-opus-5-api-generic-v5_rep3/VOICE_d4d.yaml,41,25,22,2,466,450
2026-08-22_claude-opus-5-api-generic-v5_rep1,AI_READI,claudecode_agent,baseline,2026-08-22,data/d4d_concatenated/claudecode_agent_core/2026-08-22_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,37,6,14,6,0,11,3,0,0,15,19,0,0,0,1,AI_READI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-22_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-22_claude-opus-5-api-generic-v5_rep1/AI_READI_d4d.yaml,67,469,126,12,676,1078
2026-08-22b_claude-opus-5-api-generic-v5_rep1,AI_READI,claudecode_agent,baseline,2026-08-22,data/d4d_concatenated/claudecode_agent_core/2026-08-22b_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,27,5,7,8,0,7,3,0,0,7,13,0,4,0,1,AI_READI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-22b_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-22b_claude-opus-5-api-generic-v5_rep1/AI_READI_d4d.yaml,55,62,15,6,696,703
2026-08-22c_claude-opus-5-api-generic-v5_rep1,AI_READI,claudecode_agent,baseline,2026-08-22,data/d4d_concatenated/claudecode_agent_core/2026-08-22c_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,49,0,3,11,3,32,6,0,0,23,20,0,0,0,1,AI_READI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-22c_claude-opus-5-api-generic-v5_rep1/intermediate/AI_READI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-22c_claude-opus-5-api-generic-v5_rep1/AI_READI_d4d.yaml,20,81,47,5,597,658
2026-08-22c_claude-opus-5-api-generic-v5_rep1,CHORUS,claudecode_agent,baseline,2026-08-22,data/d4d_concatenated/claudecode_agent_core/2026-08-22c_claude-opus-5-api-generic-v5_rep1/intermediate/CHORUS_audit.json,accepted: applied to the full record (reconcile_full),True,,canonical,25,5,4,6,0,10,4,0,0,6,11,0,4,0,1,CHORUS_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-22c_claude-opus-5-api-generic-v5_rep1/intermediate/CHORUS_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-22c_claude-opus-5-api-generic-v5_rep1/CHORUS_d4d.yaml,16,22,9,13,228,234
2026-08-22c_claude-opus-5-api-generic-v5_rep1,CM4AI,claudecode_agent,baseline,2026-08-22,data/d4d_concatenated/claudecode_agent_core/2026-08-22c_claude-opus-5-api-generic-v5_rep1/intermediate/CM4AI_audit.json,accepted: applied to the full record (reconcile_full),True,,superseded,14,3,2,2,0,7,3,0,0,4,7,0,0,0,1,CM4AI_repair_full_r1.yaml,data/d4d_concatenated/claudecode_agent_core/2026-08-22c_claude-opus-5-api-generic-v5_rep1/intermediate/CM4AI_full.yaml,data/d4d_concatenated/claudecode_agent/2026-08-22c_claude-opus-5-api-generic-v5_rep1/CM4AI_d4d.yaml,109,153,34,6,478,522
