project,cohort,generation_rep,label,arm,runtime,provider,model,usage_rows,usage_complete,phases_skipped,tokens_in_incl_cache_total,tokens_out_incl_thinking_total,seconds_recorded_total,status,usd_settled,usd_runtime_estimate,usd_catalogue_estimate,usd_partial_estimate,cost_basis,rubric20_adjusted_pct
CHORUS,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,8,True,,424217,189986,2068.6,reference record,,,6.1243,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",77.3
CHORUS,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,8,True,,525255,103525,1113.2,reference record,,,4.4227,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",73.9
CM4AI,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,8,True,,1326679,198685,1968.3,reference record,,,8.7019,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",85.2
CM4AI,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,7,True,,1206335,125264,2142.5,reference record,,,6.0823,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",82.1
CM4AI,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,6,True,,1009796,129831,1298.4,reference record,,,5.8704,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",89.8
CM4AI,v8,1,2026-09-04g_claude-opus-5-api-generic-v8_rep1,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,7,True,,1124408,123175,2090.8,reference record,,,7.2863,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",79.5
CM4AI,v8,2,2026-09-04g_claude-opus-5-api-generic-v8_rep2,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,7,True,,1158781,92286,954.7,reference record,,,4.8912,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",82.1
CM4AI,v8,3,2026-09-04g_claude-opus-5-api-generic-v8_rep3,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,8,True,,1421727,104893,1040.5,reference record,,,5.1104,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",78.4
VOICE,v7,1,2026-09-01_claude-opus-5-api-generic-v7_rep1,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,6,True,,1059905,126698,1070.4,reference record,,,6.7106,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",92.0
VOICE,v7,2,2026-09-01_claude-opus-5-api-generic-v7_rep2,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,6,True,,1085778,130859,1337.2,reference record,,,6.8525,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",90.9
VOICE,v7,3,2026-09-01_claude-opus-5-api-generic-v7_rep3,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,6,True,,1110775,161416,1663.1,reference record,,,7.8329,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",93.2
VOICE,v8,1,2026-09-04f_claude-opus-5-api-generic-v8_rep1,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,7,True,,1363835,169616,3029.8,reference record,,,8.5541,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",88.6
VOICE,v8,2,2026-09-04f_claude-opus-5-api-generic-v8_rep2,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,8,True,,1544959,165348,4135.7,reference record,,,9.457,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",87.5
VOICE,v8,3,2026-09-04f_claude-opus-5-api-generic-v8_rep3,api,Claude API (direct),LBL CBORG (proxy to Anthropic),claude-opus-5,9,True,,1676601,173249,2556.2,reference record,,,9.2968,,"catalogue estimate: recorded api_usage tokens x CBORG list prices for route claude-opus-5 observed 2026-09-14; not an invoice, not settled",90.9
CHORUS,direct-v1,1,2026-09-23_claude-opus-5-direct-generalized-direct-v1-chorus_rep1,direct,Claude Code (direct),"Anthropic (Claude subscription, direct)",claude-opus-5,0,False,,26440967,859206,9308.2,"disqualified canary: no provenance record, not in corpus",,49.94,,,runtime terminal accounting (estimate),
