# Comprehensive SSSOM Mapping - ALL D4D Attributes
# Includes mapped, recommended, novel, free text, and unmapped attributes
# Date: 2026-04-09T10:17:24.818193
# Total attributes: 284
#
# Status breakdown:
#   free_text: 55
#   mapped: 63
#   novel_d4d: 45
#   recommended: 69
#   unmapped: 52
#
d4d_schema_path	subject_id	subject_label	predicate_id	rocrate_json_path	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	mapping_status	d4d_description
Dataset.analysis_method	d4d:analysis_method	Analysis Method	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	"Methodology used to assess annotation quality and resolve disagreements.
"
Dataset.annotation_analyses	d4d:annotation_analyses	Annotation Analyses	skos:exactMatch	@graph[?@type='Dataset']['d4d:annotation_analyses']	d4d:annotation_analyses	annotation_analyses	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Analysis of annotation quality and inter-annotator agreement.
Dataset.annotation_quality_details	d4d:annotation_quality_details	Annotation Quality Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Additional details on annotation quality assessment and findings.
"
Dataset.annotations_per_item	d4d:annotations_per_item	Annotations Per Item	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	Number of annotations collected per data item. Multiple annotations per item enable calculation of i...
Dataset.annotator_demographics	d4d:annotator_demographics	Annotator Demographics	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	One or more demographic characteristics of the annotators, if available and relevant (e.g., geograph...
Dataset.anomalies	d4d:anomalies	Anomalies	skos:exactMatch	@graph[?@type='Dataset']['d4d:dataAnomalies']	d4d:dataAnomalies	dataAnomalies	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	mapped	Known data quality issues, errors, or irregularities in the dataset. List of DataAnomaly objects fro...
Dataset.anomaly_details	d4d:anomaly_details	Anomaly Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of errors, noise sources, or redundancies in the dataset, including their know...
Dataset.anonymization_method	d4d:anonymization_method	Anonymization Method	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	What methods were used to anonymize or de-identify participant data? Include technical details of pr...
Dataset.archival	d4d:archival	Archival	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	"Indicates whether official archival versions of external resources are included in the dataset.
"
Dataset.assent_procedures	d4d:assent_procedures	Assent Procedures	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	For research involving minors, what assent procedures were used? How was developmentally appropriate...
Dataset.at_risk_groups_included	d4d:at_risk_groups_included	At Risk Groups Included	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Are any at-risk populations included (e.g., children, pregnant women, prisoners, cognitively impaire...
Dataset.at_risk_populations	d4d:at_risk_populations	At Risk Populations	skos:exactMatch	@graph[?@type='Dataset']['d4d:atRiskPopulations']	d4d:atRiskPopulations	atRiskPopulations	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	mapped	Information about protections for at-risk populations (e.g., minors, pregnant women, prisoners) incl...
Dataset.bias_description	d4d:bias_description	Bias Description	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Detailed description of how this bias manifests in the dataset, including affected populations, feat...
Dataset.bias_type	d4d:bias_type	Bias Type	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	The type of bias identified, using standardized categories from the Artificial Intelligence Ontology...
Dataset.bytes	d4d:bytes	Bytes	skos:exactMatch	@graph[?@type='Dataset']['contentSize']	schema:contentSize	contentSize	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Size of the data in bytes.
Dataset.categories	d4d:categories	Categories	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	One or more permitted categories or values for a categorical variable. Each entry should describe a ...
Dataset.citation	d4d:citation	Citation	skos:exactMatch	@graph[?@type='Dataset']['citation']	schema:citation	citation	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Recommended citation for this dataset in DataCite or BibTeX format. Provides a standard way to cite ...
Dataset.cleaning_details	d4d:cleaning_details	Cleaning Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of data cleaning procedures applied, including criteria for removing or correc...
Dataset.cleaning_strategies	d4d:cleaning_strategies	Cleaning Strategies	skos:exactMatch	@graph[?@type='Dataset']['d4d:cleaning_strategies']	d4d:cleaning_strategies	cleaning_strategies	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Data cleaning and quality control procedures applied to the dataset. List of CleaningStrategy object...
Dataset.collection_consents	d4d:collection_consents	Collection Consents	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Consent obtained from individuals for data collection and use. List of CollectionConsent objects fro...
Dataset.collection_details	d4d:collection_details	Collection Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of whether data was collected directly from individuals or obtained via third ...
Dataset.collection_mechanisms	d4d:collection_mechanisms	Collection Mechanisms	skos:exactMatch	@graph[?@type='Dataset']['rai:dataCollection']	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-comprehensive-v1	1.0	mapped	Mechanisms, instruments, or tools used for data collection. List of CollectionMechanism objects from...
Dataset.collection_notifications	d4d:collection_notifications	Collection Notifications	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Notifications provided to individuals about data collection. List of CollectionNotification objects ...
Dataset.collection_timeframes	d4d:collection_timeframes	Collection Timeframes	skos:exactMatch	@graph[?@type='Dataset']['d4d:collection_timeframes']	d4d:collection_timeframes	collection_timeframes	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Time periods during which data was collected. List of CollectionTimeframe objects from the Collectio...
Dataset.collection_type	d4d:collection_type	Collection Type	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Type(s) of content in this file collection. A collection may have multiple types, for example a coll...
Dataset.collector_details	d4d:collector_details	Collector Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of who was involved in data collection (e.g., students, crowdworkers, contract...
Dataset.comment_prefix	d4d:comment_prefix	Comment Prefix	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Character(s) used to indicate comment lines (e.g., ""#"" for CSV comments)."
Dataset.compensation_amount	d4d:compensation_amount	Compensation Amount	skos:exactMatch	@graph[?@type='Dataset']['d4d:compensation_amount']	d4d:compensation_amount	compensation_amount	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	"What was the amount or value of compensation provided? Include currency or equivalent value.
"
Dataset.compensation_provided	d4d:compensation_provided	Compensation Provided	skos:exactMatch	@graph[?@type='Dataset']['d4d:compensation_provided']	d4d:compensation_provided	compensation_provided	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Were participants compensated for their participation?
Dataset.compensation_rationale	d4d:compensation_rationale	Compensation Rationale	skos:exactMatch	@graph[?@type='Dataset']['d4d:compensation_rationale']	d4d:compensation_rationale	compensation_rationale	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	What was the rationale for the compensation structure? How was the amount determined to be appropria...
Dataset.compensation_type	d4d:compensation_type	Compensation Type	skos:exactMatch	@graph[?@type='Dataset']['d4d:compensation_type']	d4d:compensation_type	compensation_type	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	What type of compensation was provided (e.g., monetary payment, gift cards, course credit, other inc...
Dataset.compression	d4d:compression	Compression	skos:closeMatch	@graph[?@type='Dataset']['evi:formats']	evi:formats	formats	semapv:ManualMappingCuration	0.9	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-comprehensive-v1	1.0	mapped	Compression format used, if any (e.g., gzip, bzip2, zip).
Dataset.confidential_elements	d4d:confidential_elements	Confidential Elements	skos:exactMatch	@graph[?@type='Dataset']['d4d:confidential_elements']	d4d:confidential_elements	confidential_elements	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Confidential or restricted information within the dataset that requires access controls. List of Con...
Dataset.confidential_elements_present	d4d:confidential_elements_present	Confidential Elements Present	skos:exactMatch	@graph[?@type='Dataset']['d4d:confidential_elements_present']	d4d:confidential_elements_present	confidential_elements_present	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Indicates whether any confidential data elements are present.
Dataset.confidentiality_details	d4d:confidentiality_details	Confidentiality Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of which data elements are confidential, the basis for confidentiality (e.g., ...
Dataset.confidentiality_level	d4d:confidentiality_level	Confidentiality Level	skos:exactMatch	@graph[?@type='Dataset']['d4d:confidentiality_level']	d4d:confidentiality_level	confidentiality_level	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Confidentiality classification of the dataset indicating level of access restrictions and sensitivit...
Dataset.conforms_to	d4d:conforms_to	Conforms To	skos:exactMatch	@graph[?@type='Dataset']['conformsTo']	schema:conformsTo	conformsTo	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	An established standard, specification, or schema to which the resource conforms.
Dataset.conforms_to_class	d4d:conforms_to_class	Conforms To Class	skos:narrowMatch	@graph[?@type='Dataset']['conformsTo']	schema:conformsTo	conformsTo	semapv:ManualMappingCuration	0.8	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	The specific class or type within a schema to which the resource conforms.
Dataset.conforms_to_schema	d4d:conforms_to_schema	Conforms To Schema	skos:narrowMatch	@graph[?@type='Dataset']['conformsTo']	schema:conformsTo	conformsTo	semapv:ManualMappingCuration	0.8	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	The schema or data model to which the resource conforms.
Dataset.consent_details	d4d:consent_details	Consent Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of how consent was requested (e.g., opt-in form, verbal agreement), provided, ...
Dataset.consent_documentation	d4d:consent_documentation	Consent Documentation	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"How is consent documented? Include references to consent forms or procedures used.
"
Dataset.consent_obtained	d4d:consent_obtained	Consent Obtained	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	Was informed consent obtained from all participants?
Dataset.consent_revocations	d4d:consent_revocations	Consent Revocations	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Mechanisms for individuals to revoke previously given consent. List of ConsentRevocation objects fro...
Dataset.consent_scope	d4d:consent_scope	Consent Scope	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	"What specific uses did participants consent to? Are there limitations on data use based on consent?
"
Dataset.consent_type	d4d:consent_type	Consent Type	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	What type of consent was obtained (e.g., written, verbal, electronic, implied through participation)...
Dataset.contact_person	d4d:contact_person	Contact Person	skos:exactMatch	@graph[?@type='Dataset']['d4d:contact_person']	d4d:contact_person	contact_person	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Contact person for questions about ethical review. Provides structured contact information including...
Dataset.content_warnings	d4d:content_warnings	Content Warnings	skos:exactMatch	@graph[?@type='Dataset']['d4d:content_warnings']	d4d:content_warnings	content_warnings	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Content warnings for potentially harmful, offensive, or disturbing material in the dataset. List of ...
Dataset.content_warnings_present	d4d:content_warnings_present	Content Warnings Present	skos:exactMatch	@graph[?@type='Dataset']['d4d:content_warnings_present']	d4d:content_warnings_present	content_warnings_present	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Indicates whether any content warnings are needed.
Dataset.contribution_url	d4d:contribution_url	Contribution Url	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	URL for contribution guidelines or process.
Dataset.counts	d4d:counts	Counts	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	"How many instances are there in total (of each type, if appropriate)?
"
Dataset.created_by	d4d:created_by	Created By	skos:closeMatch	@graph[?@type='Dataset']['creator']	schema:creator	creator	semapv:ManualMappingCuration	0.9	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	The person or organization primarily responsible for creating the resource.
Dataset.created_on	d4d:created_on	Created On	skos:exactMatch	@graph[?@type='Dataset']['dateCreated']	schema:dateCreated	dateCreated	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	The date and time when the resource was created.
Dataset.creators	d4d:creators	Creators	skos:closeMatch	@graph[?@type='Dataset']['author']	schema:author	author	semapv:ManualMappingCuration	0.9	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Individuals or organizations who created the dataset. List of Creator objects describing authorship,...
Dataset.credit_roles	d4d:credit_roles	Credit Roles	skos:closeMatch	@graph[?@type='Dataset']['creator']	schema:creator	creator	semapv:SuggestedMapping	0.7	Recommended mapping (confidence: high)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	recommended	One or more contributor roles using the CRediT (Contributor Roles Taxonomy) for the principal invest...
Dataset.data_annotation_platform	d4d:data_annotation_platform	Data Annotation Platform	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	One or more platforms or tools used for annotation (e.g., Label Studio, Prodigy, Amazon Mechanical T...
