# SSSOM (Simple Standard for Sharing Ontology Mappings)
# Generated from D4D SKOS alignment
# Date: 2026-03-19T21:34:44.934189
# Subset: False
# Total mappings: 95
#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	in_rocrate_json	in_pydantic_model	in_interface_mapping
d4d:download_url	Download Url	skos:exactMatch	schema:contentUrl	contentUrl	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:bytes	Bytes	skos:exactMatch	schema:contentSize	contentSize	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:md5	Md5	skos:exactMatch	evi:md5	md5	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:sha256	Sha256	skos:exactMatch	evi:sha256	sha256	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:hash	Hash	skos:exactMatch	evi:md5	md5	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:created_on	Created On	skos:exactMatch	schema:dateCreated	dateCreated	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:issued	Issued	skos:exactMatch	schema:datePublished	datePublished	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:last_updated_on	Last Updated On	skos:exactMatch	schema:dateModified	dateModified	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:status	Status	skos:exactMatch	schema:creativeWorkStatus	creativeWorkStatus	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:conforms_to	Conforms To	skos:exactMatch	schema:conformsTo	conformsTo	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	false	true
d4d:was_derived_from	Was Derived From	skos:exactMatch	schema:isBasedOn	isBasedOn	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:addressing_gaps	Addressing Gaps	skos:exactMatch	d4d:addressingGaps	addressingGaps	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	true	true
d4d:anomalies	Anomalies	skos:exactMatch	d4d:anomalies	anomalies	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:content_warnings	Content Warnings	skos:exactMatch	d4d:contentWarnings	contentWarnings	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:informed_consent	Informed Consent	skos:exactMatch	d4d:informedConsent	informedConsent	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	true	true
d4d:acquisition_methods	Acquisition Methods	skos:exactMatch	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:collection_mechanisms	Collection Mechanisms	skos:exactMatch	rai:dataCollection	dataCollection	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:collection_timeframes	Collection Timeframes	skos:exactMatch	d4d:dataCollectionTimeframe	dataCollectionTimeframe	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:confidential_elements	Confidential Elements	skos:exactMatch	rai:personalSensitiveInformation	personalSensitiveInformation	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:data_protection_impacts	Data Protection Impacts	skos:exactMatch	rai:dataSocialImpact	dataSocialImpact	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:future_use_impacts	Future Use Impacts	skos:exactMatch	rai:dataSocialImpact	dataSocialImpact	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:discouraged_uses	Discouraged Uses	skos:exactMatch	rai:prohibitedUses	prohibitedUses	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:prohibited_uses	Prohibited Uses	skos:exactMatch	rai:prohibitedUses	prohibitedUses	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:distribution_dates	Distribution Dates	skos:exactMatch	schema:dateCreated	dateCreated	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:errata	Errata	skos:exactMatch	schema:correction	correction	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:ethical_reviews	Ethical Reviews	skos:exactMatch	rai:ethicalReview	ethicalReview	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:existing_uses	Existing Uses	skos:exactMatch	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:intended_uses	Intended Uses	skos:exactMatch	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:other_tasks	Other Tasks	skos:exactMatch	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:tasks	Tasks	skos:exactMatch	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:purposes	Purposes	skos:closeMatch	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:known_biases	Known Biases	skos:exactMatch	rai:dataBiases	dataBiases	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:known_limitations	Known Limitations	skos:exactMatch	rai:dataLimitations	dataLimitations	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:imputation_protocols	Imputation Protocols	skos:exactMatch	rai:imputationProtocol	imputationProtocol	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:missing_data_documentation	Missing Data Documentation	skos:exactMatch	rai:dataCollectionMissingData	dataCollectionMissingData	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:raw_data_sources	Raw Data Sources	skos:exactMatch	rai:dataCollectionRawData	dataCollectionRawData	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:raw_sources	Raw Sources	skos:exactMatch	rai:dataCollectionRawData	dataCollectionRawData	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:updates	Updates	skos:exactMatch	rai:dataReleaseMaintenancePlan	dataReleaseMaintenancePlan	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:human_subject_research	Human Subject Research	skos:exactMatch	d4d:humanSubject	humanSubject	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:vulnerable_populations	Vulnerable Populations	skos:exactMatch	rai:atRiskPopulations	atRiskPopulations	semapv:ManualMappingCuration	1.0	Source: Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	true	true
d4d:distribution_formats	Distribution Formats	skos:exactMatch	evi:formats	formats	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:encoding	Encoding	skos:closeMatch	evi:formats	formats	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:funders	Funders	skos:exactMatch	schema:funder	funder	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:citation	Citation	skos:exactMatch	schema:citation	citation	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	false
d4d:format	Format	skos:exactMatch	schema:encodingFormat	encodingFormat	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	false
d4d:parent_datasets	Parent Datasets	skos:exactMatch	schema:isPartOf	isPartOf	semapv:ManualMappingCuration	1.0	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:related_datasets	Related Datasets	skos:exactMatch	schema:isRelatedTo	isRelatedTo	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:same_as	Same As	skos:exactMatch	schema:sameAs	sameAs	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	false
d4d:variables	Variables	skos:exactMatch	schema:variableMeasured	variableMeasured	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:id	Id	skos:exactMatch	rdf:ID	ID	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	unknown	d4d-rocrate-alignment-v1	1.0	false	false	false
d4d:participant_compensation	Participant Compensation	skos:exactMatch	d4d:participantCompensation	participantCompensation	semapv:ManualMappingCuration	1.0	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-alignment-v1	1.0	false	false	false
d4d:creators	Creators	skos:closeMatch	schema:author	author	semapv:ManualMappingCuration	0.9	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:created_by	Created By	skos:closeMatch	schema:creator	creator	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:modified_by	Modified By	skos:closeMatch	schema:contributor	contributor	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:sensitive_elements	Sensitive Elements	skos:closeMatch	rai:personalSensitiveInformation	personalSensitiveInformation	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:cleaning_strategies	Cleaning Strategies	skos:closeMatch	rai:dataManipulationProtocol	dataManipulationProtocol	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:preprocessing_strategies	Preprocessing Strategies	skos:closeMatch	rai:dataPreprocessingProtocol	dataPreprocessingProtocol	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:labeling_strategies	Labeling Strategies	skos:closeMatch	rai:dataAnnotationProtocol	dataAnnotationProtocol	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:annotation_analyses	Annotation Analyses	skos:closeMatch	rai:dataAnnotationAnalysis	dataAnnotationAnalysis	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:machine_annotation_tools	Machine Annotation Tools	skos:closeMatch	rai:machineAnnotationTools	machineAnnotationTools	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	false
d4d:license_and_use_terms	License And Use Terms	skos:closeMatch	schema:license	license	semapv:ManualMappingCuration	0.9	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:ip_restrictions	Ip Restrictions	skos:closeMatch	schema:conditionsOfAccess	conditionsOfAccess	semapv:ManualMappingCuration	0.9	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:extension_mechanism	Extension Mechanism	skos:closeMatch	schema:license	license	semapv:ManualMappingCuration	0.9	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:regulatory_restrictions	Regulatory Restrictions	skos:closeMatch	schema:conditionsOfAccess	conditionsOfAccess	semapv:ManualMappingCuration	0.9	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:compression	Compression	skos:closeMatch	evi:formats	formats	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:dialect	Dialect	skos:closeMatch	schema:encodingFormat	encodingFormat	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:media_type	Media Type	skos:closeMatch	schema:encodingFormat	encodingFormat	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:participant_privacy	Participant Privacy	skos:closeMatch	rai:personalSensitiveInformation	personalSensitiveInformation	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	false	false	false
d4d:themes	Themes	skos:closeMatch	schema:about	about	semapv:ManualMappingCuration	0.9	Source: RO-Crate JSON	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	false	false
d4d:external_resources	External Resources	skos:closeMatch	schema:relatedLink	relatedLink	semapv:ManualMappingCuration	0.9	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	false
d4d:instances	Instances	skos:relatedMatch	schema:variableMeasured	variableMeasured	semapv:ManualMappingCuration	0.7	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:subpopulations	Subpopulations	skos:relatedMatch	schema:variableMeasured	variableMeasured	semapv:ManualMappingCuration	0.7	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:resources	Resources	skos:relatedMatch	schema:hasPart	hasPart	semapv:ManualMappingCuration	0.7	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:data_collectors	Data Collectors	skos:relatedMatch	schema:contributor	contributor	semapv:ManualMappingCuration	0.7	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:maintainers	Maintainers	skos:relatedMatch	schema:maintainer	maintainer	semapv:ManualMappingCuration	0.7	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
